BOY1 8 331 7
BOY2 5 195 8
BOY3 10 139 1
BOY4 9 486 8
BOY5 2 379 8
BOY6 9 354 8
BOY7 6 211 2
BOY8 5 402 7
BOY9 6 111 5
BOY10 8 238 1
BOY11 7 410 4
BOY12 9 365 4
BOY13 2 343 2
BOY14 6 153 1
BOY15 10 377 2
BOY16 2 313 3
BOY17 1 404 6
BOY18 7 418 2
BOY19 6 181 4
BOY20 9 107 7
BOY21 6 485 5
BOY22 1 485 8
BOY23 10 176 9
BOY24 8 331 9
BOY25 7 208 6
BOY26 5 179 5
BOY27 7 307 8
BOY28 6 170 5
BOY29 4 436 4
BOY30 2 142 2
BOY31 3 346 5
BOY32 6 467 4
BOY33 4 254 4
BOY34 6 296 3
BOY35 5 319 2
BOY36 7 470 6
BOY37 3 282 8
BOY38 7 317 5
BOY39 1 282 1
BOY40 8 481 9
BOY41 7 427 4
BOY42 6 350 3
BOY43 10 185 7
BOY44 10 464 8
BOY45 5 238 1
BOY46 8 192 8
BOY47 8 444 7
BOY48 4 247 2
BOY49 8 283 10
BOY50 10 229 4
BOY51 4 323 2
BOY52 5 317 7
BOY53 3 348 2
BOY54 3 425 4
BOY55 1 203 5
BOY56 5 235 9
BOY57 6 483 1
BOY58 2 192 5
BOY59 5 262 1
BOY60 4 374 6
BOY61 1 263 5
BOY62 5 158 5
BOY63 4 282 1
BOY64 10 474 9
BOY65 7 270 10
BOY66 5 135 3
BOY67 9 204 10
BOY68 3 360 8
BOY69 2 416 1
BOY70 1 168 2
BOY71 8 222 9
BOY72 9 145 3
BOY73 2 203 9
BOY74 2 278 4
BOY75 2 486 7
BOY76 2 435 1
BOY77 9 130 2
BOY78 6 166 10
BOY79 7 480 5
BOY80 10 212 5
BOY81 4 283 8
BOY82 6 156 7
BOY83 4 198 6
BOY84 6 157 5
BOY85 9 456 5
BOY86 2 201 10
BOY87 8 221 7
BOY88 4 201 9
BOY89 3 453 7
BOY90 4 463 9
BOY91 2 227 4
BOY92 5 462 2
BOY93 6 403 9
BOY94 8 455 6
BOY95 5 280 10
BOY96 7 491 2
BOY97 5 308 8
BOY98 7 101 2
BOY99 9 186 5
BOY100 5 148 2
BOY101 4 167 9
BOY102 2 474 9
BOY103 8 437 6
BOY104 6 362 7
BOY105 9 390 7
BOY106 1 283 4
BOY107 2 298 1
BOY108 10 286 9
BOY109 6 253 1
BOY110 3 448 1
BOY111 5 174 8
BOY112 2 392 9
BOY113 9 460 3
BOY114 9 208 8
BOY115 5 389 10
BOY116 1 291 3
BOY117 9 129 7
BOY118 3 172 7
BOY119 5 111 3
BOY120 5 171 9
BOY121 8 415 3
BOY122 5 457 3
BOY123 9 404 6
BOY124 8 426 8
BOY125 2 306 3
BOY126 7 385 8
BOY127 1 284 4
BOY128 3 368 6
BOY129 8 247 4
BOY130 4 189 6
BOY131 10 481 2
BOY132 9 401 10
BOY133 2 423 1
BOY134 10 220 2
BOY135 2 280 1
BOY136 7 420 5
BOY137 8 260 7
BOY138 10 295 5
BOY139 3 268 1
BOY140 2 329 2
BOY141 4 406 10
BOY142 1 233 7
BOY143 3 125 4
BOY144 8 363 4
BOY145 10 119 10
BOY146 5 361 3
BOY147 8 281 8
BOY148 9 455 5
BOY149 5 189 1
BOY150 5 282 4
BOY151 9 329 2
BOY152 2 251 8
BOY153 8 216 1
BOY154 4 101 7
BOY155 3 383 9
BOY156 9 370 5
BOY157 4 460 9
BOY158 2 150 6
BOY159 8 253 1
BOY160 9 240 6
BOY161 2 287 6
BOY162 8 388 2
BOY163 1 137 5
BOY164 9 393 9
BOY165 10 374 7
BOY166 7 405 6
BOY167 1 447 2
BOY168 9 199 8
BOY169 7 141 8
BOY170 7 210 5
BOY171 8 102 6
BOY172 2 189 5
BOY173 5 230 10
BOY174 2 327 7
BOY175 2 183 3
BOY176 5 389 7
BOY177 6 419 1
BOY178 1 318 8
BOY179 5 250 3
BOY180 3 161 7
BOY181 8 262 4
BOY182 2 220 5
BOY183 9 211 10
BOY184 8 464 5
BOY185 5 360 4
BOY186 10 156 2
BOY187 10 221 9
BOY188 6 367 8
BOY189 10 119 1
BOY190 1 395 7
BOY191 5 453 9
BOY192 9 434 8
BOY193 3 117 9
BOY194 3 421 5
BOY195 1 361 7
BOY196 4 307 10
BOY197 2 382 10
BOY198 4 446 7
BOY199 3 145 3
BOY200 2 171 9
