1 10 0 3 2
2 18 0 2 10
3 55 1 3 3
4 51 1 1 2
5 46 1 3 6
6 13 0 1 2
7 26 1 2 3
8 36 1 3 9
9 22 1 1 2
10 54 1 2 8
11 43 0 1 4
12 21 1 3 4
13 54 1 2 4
14 19 1 1 3
15 38 1 1 4
16 52 0 3 7
17 52 0 2 9
18 15 0 2 5
19 10 0 1 1
20 58 1 1 7
21 14 0 3 10
22 36 0 3 7
23 49 0 2 2
24 48 1 2 7
25 51 1 1 9
26 18 1 3 4
27 16 1 1 5
28 55 1 1 4
29 39 0 2 5
30 22 1 1 8
31 46 1 1 7
32 34 1 3 6
33 10 0 2 2
34 40 0 2 2
35 47 1 3 8
36 43 1 3 8
37 18 1 3 6
38 56 0 1 2
39 28 1 2 7
40 15 0 3 1
41 47 0 3 1
42 51 1 1 9
43 46 1 3 3
44 31 0 2 5
45 44 0 1 9
46 59 1 1 2
47 48 0 3 9
48 53 0 3 8
49 31 1 2 9
50 24 1 3 1
51 11 1 3 10
52 16 1 3 1
53 18 0 1 9
54 12 1 3 5
55 53 1 2 6
56 13 0 1 4
57 28 0 1 9
58 41 0 3 1
59 17 1 3 10
60 52 0 1 3
61 17 0 3 9
62 48 1 3 9
63 44 0 1 7
64 56 0 1 3
65 43 1 3 3
66 26 0 1 10
67 11 0 1 2
68 36 1 3 2
69 22 1 3 3
70 29 1 3 1
71 49 1 1 2
72 45 0 2 6
73 36 0 2 3
74 42 0 1 8
75 49 1 1 10
76 52 0 1 7
77 59 0 2 6
78 20 1 3 2
79 33 1 1 9
80 39 1 2 10
81 59 0 2 10
82 26 1 3 4
83 42 0 2 7
84 11 0 1 6
85 23 0 2 7
86 13 1 2 4
87 55 0 3 3
88 18 1 1 4
89 54 1 2 7
90 21 1 3 7
91 26 1 3 6
92 49 0 3 5
93 20 0 3 4
94 23 0 1 6
95 28 0 3 5
96 51 0 3 8
97 24 1 2 3
98 34 0 1 5
99 30 1 3 3
100 37 0 2 8
101 28 1 3 4
102 40 0 3 3
103 59 0 2 4
104 34 1 1 8
105 41 1 3 4
106 53 1 1 4
107 52 0 3 6
108 10 0 3 3
109 34 1 3 8
110 43 1 2 1
111 27 0 3 2
112 54 0 2 6
113 35 1 1 6
114 12 0 2 7
115 53 0 3 2
116 24 0 3 2
117 47 0 2 10
118 17 0 1 1
119 37 0 3 1
120 19 0 1 4
121 47 1 2 3
122 37 1 3 8
123 30 1 3 10
124 56 1 2 3
125 35 1 2 8
126 26 0 2 5
127 31 1 2 1
128 30 1 3 2
129 23 0 3 1
130 39 0 2 1
131 38 0 2 1
132 10 1 3 6
133 20 1 2 9
134 18 1 3 8
135 10 1 2 4
136 44 1 1 1
137 14 1 1 6
138 10 0 2 6
139 26 0 2 4
140 17 0 1 7
141 21 1 1 8
142 22 1 3 7
143 51 1 1 8
144 25 1 1 4
145 15 0 2 10
146 44 0 1 4
147 29 1 2 5
148 43 1 3 3
149 58 1 2 2
150 52 1 3 6
151 35 1 2 5
152 30 1 3 10
153 43 1 3 7
154 11 1 2 1
155 44 1 3 4
156 15 0 2 7
157 10 1 1 3
158 15 1 1 4
159 37 1 3 3
160 53 0 3 5
161 23 0 2 7
162 20 0 3 6
163 55 0 2 8
164 48 0 3 10
165 49 1 2 6
166 24 1 2 1
167 18 0 2 2
168 15 0 3 6
169 39 1 2 5
170 57 0 2 6
171 37 1 1 10
172 50 1 1 8
173 37 1 3 4
174 52 1 2 6
175 19 0 1 5
176 44 1 2 1
177 30 0 1 6
178 13 0 1 8
179 23 0 2 2
180 50 1 2 1
181 23 1 1 5
182 42 0 3 2
183 49 1 3 1
184 57 0 2 4
185 24 1 2 5
186 22 1 3 4
187 22 1 1 7
188 54 1 3 10
189 18 1 1 6
190 33 1 1 9
191 47 0 2 3
192 13 1 1 1
193 29 0 3 4
194 53 0 1 6
195 47 1 1 8
196 41 1 1 10
197 20 0 3 9
198 48 0 1 2
199 53 1 1 7
200 27 0 1 1
